Part;Value;Device;Package;Description;MPN;TP_SIGNAL_NAME;VALUE
BTN2;PANASONIC_EVQPT5A15;PANASONIC_EVQPT5A15;PANASONIC_EVQPT5A15;;;;
C1;10pF;CAPACITOR_0402_N;RESC0402_N;Generic chip capacitor;;;
C2;10pF;CAPACITOR_0402_N;RESC0402_N;Generic chip capacitor;;;
C3;0.8pF;CAPACITOR_0402_N;RESC0402_N;Generic chip capacitor;;;
C4;100nF;CAPACITOR_0402_N;RESC0402_N;Generic chip capacitor;;;
C5;100nF;CAPACITOR_0402_N;RESC0402_N;Generic chip capacitor;;;
C6;4.7µF;CAPACITOR_0603_N;RESC0603_N;Generic chip capacitor;;;
C7;100nF;CAPACITOR_0402_N;RESC0402_N;Generic chip capacitor;;;
C8;100nF;CAPACITOR_0402_N;RESC0402_N;Generic chip capacitor;;;
C9;4.7µF;CAPACITOR_0603_N;RESC0603_N;Generic chip capacitor;;;
C10;1.0µF;CAPACITOR_0603_N;RESC0603_N;Generic chip capacitor;;;
C11;12pF;CAPACITOR_0402_N;RESC0402_N;Generic chip capacitor;;;
C12;12pF;CAPACITOR_0402_N;RESC0402_N;Generic chip capacitor;;;
C13;100nF;CAPACITOR_0402_N;RESC0402_N;Generic chip capacitor;;;
C16;100nF;CAPACITOR_0402_N;RESC0402_N;Generic chip capacitor;;;
C17;10µF;CAPACITOR_0603_N;RESC0603_N;Generic chip capacitor
C18;10µF;CAPACITOR_0603_N;RESC0603_N;Generic chip capacitor
C19;100µF;CAPACITOR_0805_N;RESC0805_N;Generic chip capacitor
D1;LED_BLUE;LED;DIOC0603_N;
D3;LED_CHARGE;LED;DIOC0603_N;
D4;LED_GREEN;LED;DIOC0603_N;
L1;3.9nH;INDUCTOR_0402_N;RESC0402_N;Generic chip inductor
L2;10µH;INDUCTOR_0603_N;RESC0603_N;Generic chip inductor
L3;15nH;INDUCTOR_0402_N;RESC0402_N;Generic chip inductor
R1;3K;RESISTOR_0402_N;RESC0402_N;Generic chip resistor
R2;10k;RESISTOR_0402_N;RESC0402_N;Generic chip resistor
R3;10k;RESISTOR_0402_N;RESC0402_N;Generic chip resistor
R4;100k;RESISTOR_0402_N;RESC0402_N;Generic chip resistor
R6;10k;RESISTOR_0402_N;RESC0402_N;Generic chip resistor
R8;330R;RESISTOR_0402_N;RESC0402_N;Generic chip resistor
R11;10k;RESISTOR_0402_N;RESC0402_N;Generic chip resistor
U$2;SST26VF064B-104I/SM;SST26VF;SOIJ8;SST26VF;;;
U$3;LIS3DH;ACCEL_LIS3DHTR;LGA16_3X3MM;LIS3DHTR 3-Axis Accelerometer with I2C/SPI Interface;;;
U$4;MICRO-USB-RECEPTACLE_MY;MICRO-USB-RECEPTACLE_MY;47589-0001_MY;MICRO USB RECEPTACLES;;;
U1;NRF52832;NRF52832;QFN40P600X600X90-48_N;nRF52832;;;
U2;MCP73832T-2ACI/OT-SOT23-5;PMIC-MCP73832T-2ACI/OT(SOT23-5);SOT-23-5;310030238;MCP73832T-2ACI/OT;;MCP73832T-2ACI/OT-SOT23-5
U4;MIC5225-3.3;VREG_SOT23-5;SOT23-5;SOT23-5 Fixed Voltage Regulators;;;
X1;FA-128;FA-128;FA-128;Epson MHz RANGE CRYSTAL UNIT;;;
X2;32.768kHz;XTAL_32KHZ;XTAL_3215_N;;;;
